1033,MOCHIS,GALON,YAQUI MOCHIS MUUU ENTERA,24,20,480,06/07/2015,lunes,27,6,1,Julio,2015,120,120,"2,880","2,880",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,06/07/2015,lunes,27,6,1,Julio,2015,42,42,"1,008","1,008",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
4144,AURORA,GALON,AGUA AURORA,24,20,480,06/07/2015,lunes,27,6,1,Julio,2015,220,220,"5,280","5,280",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
7019,COMONDU,LITRO,DEL VALLE LOW FAT,96,20,1920,07/07/2015,martes,27,7,1,Julio,2015,12,12,"1,152","1,152",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
7018,COMONDU,LITRO,DEL VALLE ENTERA,96,20,1920,07/07/2015,martes,27,7,1,Julio,2015,197,197,"18,912","18,912",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
4158,VARIOS,LITRO,ENVASE BLANCO C-358,96,20,1920,07/07/2015,martes,27,7,1,Julio,2015,3,3,288,288,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
6018,COMONDU,MEDIO GALON,DEL VALLE ENTERA,54,20,1080,07/07/2015,martes,27,7,1,Julio,2015,231,230,"12,474","12,420",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
4169,VARIOS,MEDIO GALON,ENVASE BLANCO C-358,54,20,1080,07/07/2015,martes,27,7,1,Julio,2015,45,45,"2,430","2,430",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
4169,VARIOS,MEDIO GALON,ENVASE BLANCO C-358,54,20,1080,07/07/2015,martes,27,7,1,Julio,2015,8,8,432,432,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
1022,COMONDU,GALON,AGUA CASCADA,24,20,480,07/07/2015,martes,27,7,1,Julio,2015,70,70,"1,680","1,680",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
